C0	1321N1_CENTRAL_NERVOUS_SYSTEM
C699	HCC202_BREAST
C700	SNUC1_LARGE_INTESTINE
C701	TT_OESOPHAGUS
C702	ST486_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C703	SCLC21H_LUNG
C704	NCIH1435_LUNG
C705	HCC1419_BREAST
C706	BT483_BREAST
C707	HS281T_BREAST
C708	HS934T_SKIN
C709	HCC1428_BREAST
C710	TE441T_SOFT_TISSUE
C711	NB1_AUTONOMIC_GANGLIA
C712	HS274T_BREAST
C713	HS863T_BONE
C714	NCIH841_LUNG
C715	HS821T_BONE
C716	NCIH2405_LUNG
C717	BEN_LUNG
C718	SUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C719	BFTC905_URINARY_TRACT
C720	NOMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C721	HS343T_BREAST
C722	HS888T_BONE
C723	KU1919_URINARY_TRACT
C724	CADOES1_BONE
C725	S117_SOFT_TISSUE
C726	COLO677_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C727	CAL62_THYROID
C728	MHHCALL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C729	M07E_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C730	NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C731	LCLC97TM1_LUNG
C732	2313287_STOMACH
C733	BHT101_THYROID
C734	JVM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C735	CAL51_BREAST
C736	KMH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C737	NUDUL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C738	BC3C_URINARY_TRACT
C739	REC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C740	OCIM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C741	SUDHL5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C742	CL11_LARGE_INTESTINE
C743	MEC2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C744	CL34_LARGE_INTESTINE
C745	RCHACV_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C746	CAL120_BREAST
C747	647V_URINARY_TRACT
C748	RH18_SOFT_TISSUE
C749	MOLM16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C750	EJM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C751	WSUDLCL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C752	JIMT1_BREAST
C753	ML1_THYROID
C754	MOLP2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C755	UT7_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C756	MHHNB11_AUTONOMIC_GANGLIA
C757	MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C758	SW1710_URINARY_TRACT
C759	MOLT13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C760	SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C761	SCC15_UPPER_AERODIGESTIVE_TRACT
C762	RS5_PLEURA
C763	NCIH2126_LUNG
C764	NCIH2141_LUNG
C765	NCIH1385_LUNG
C766	TT_THYROID
C767	TF1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C768	HS172T_URINARY_TRACT
C769	HS834T_SKIN
C770	TE125T_SOFT_TISSUE
C771	DND41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C772	ME1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C773	DM3_PLEURA
C774	JEKO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C775	JJN3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C776	NUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C777	CL14_LARGE_INTESTINE
C778	KYO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C779	JL1_PLEURA
C780	CAL148_BREAST
C781	NALM19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C782	HPBALL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C783	SUPT11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C784	CL40_LARGE_INTESTINE
C785	MDAMB134VI_BREAST
C786	HCC1500_BREAST
C787	HCC1599_BREAST
C788	SUPHD1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C789	MOTN1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C790	OCIAML3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C791	RH41_SOFT_TISSUE
C792	OCILY19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C793	MOLM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C794	KASUMI6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C795	HS698T_LARGE_INTESTINE
C796	UACC893_BREAST
C797	CHP126_AUTONOMIC_GANGLIA
C798	COLO680N_OESOPHAGUS
C799	LAMA84_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C800	CMLT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C801	EHEB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C802	CAL54_KIDNEY
C803	BV173_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C804	EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C805	NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C806	VMCUB1_URINARY_TRACT
C807	LXF289_LUNG
C808	PL21_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C809	PF382_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C810	NALM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C811	MHHCALL3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C812	JURLMK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C813	KE37_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C814	JK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C815	RI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C816	L540_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C817	MHHCALL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C818	MUTZ5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C819	HDLM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C820	CAL29_URINARY_TRACT
C821	KOPN8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C822	HCC95_LUNG
C823	253J_URINARY_TRACT
C824	HCC1438_LUNG
C825	253JBV_URINARY_TRACT
C826	SNU1066_UPPER_AERODIGESTIVE_TRACT
C827	SNU1041_UPPER_AERODIGESTIVE_TRACT
C828	HCC2108_LUNG
C829	COLO783_SKIN
C830	HCC1359_LUNG
C831	BICR31_UPPER_AERODIGESTIVE_TRACT
C832	COV362_OVARY
C833	COLO792_SKIN
C834	COV434_OVARY
C835	HS751T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C836	NCIH2110_LUNG
C837	CHAGOK1_LUNG
C838	DMS454_LUNG
C839	CORL47_LUNG
C840	FTC238_THYROID
C841	DMS273_LUNG
C842	FTC133_THYROID
C843	CORL311_LUNG
C844	A704_KIDNEY
C845	NCIH2081_LUNG
C846	HS255T_LARGE_INTESTINE
C847	SW837_LARGE_INTESTINE
C848	IGR1_SKIN
C849	NCIH1105_LUNG
C850	NCIH1436_LUNG
C851	NCIH1876_LUNG
C852	CORL24_LUNG
C853	COV644_OVARY
C854	GP2D_LARGE_INTESTINE
C855	PECAPJ15_UPPER_AERODIGESTIVE_TRACT
C856	CORL88_LUNG
C857	CORL95_LUNG
C858	PECAPJ49_UPPER_AERODIGESTIVE_TRACT
C859	PECAPJ34CLONEC12_UPPER_AERODIGESTIVE_TRACT
C860	CORL51_LUNG
C861	RT11284_URINARY_TRACT
C862	PECAPJ41CLONED2_UPPER_AERODIGESTIVE_TRACT
C863	OV7_OVARY
C864	HT55_LARGE_INTESTINE
C865	OAW42_OVARY
C866	MDST8_LARGE_INTESTINE
C867	OAW28_OVARY
C868	KASUMI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C869	NCIH596_LUNG
C870	YAPC_PANCREAS
C871	HCC366_LUNG
C872	SNU1040_LARGE_INTESTINE
C873	SNU1076_UPPER_AERODIGESTIVE_TRACT
C874	SNU175_LARGE_INTESTINE
C875	SNU407_LARGE_INTESTINE
C876	SNU201_CENTRAL_NERVOUS_SYSTEM
C877	KMS20_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C878	SNU216_STOMACH
C879	SNU1196_BILIARY_TRACT
C880	SNU1079_BILIARY_TRACT
C881	HCC1195_LUNG
C882	NCIH854_LUNG
C883	SNU466_CENTRAL_NERVOUS_SYSTEM
C884	YD38_UPPER_AERODIGESTIVE_TRACT
C885	SNU1105_CENTRAL_NERVOUS_SYSTEM
C886	SNU283_LARGE_INTESTINE
C887	SNU46_UPPER_AERODIGESTIVE_TRACT
C888	SNU308_BILIARY_TRACT
C889	YD8_UPPER_AERODIGESTIVE_TRACT
C890	SNU245_BILIARY_TRACT
C891	SNU478_BILIARY_TRACT
C892	SNU410_PANCREAS
C893	SNU899_UPPER_AERODIGESTIVE_TRACT
C894	SNU503_LARGE_INTESTINE
C895	SET2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C896	SNU738_CENTRAL_NERVOUS_SYSTEM
C897	SNU626_CENTRAL_NERVOUS_SYSTEM
C898	SNU869_BILIARY_TRACT
C899	SNU878_LIVER
C900	SNU840_OVARY
C901	SNU8_OVARY
C902	NCIH684_LIVER
C903	ALEXANDERCELLS_LIVER
C904	LC1F_LUNG
C905	CMK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C906	T3M4_PANCREAS
C907	COLO818_SKIN
C908	HS742T_BREAST
C909	BICR56_UPPER_AERODIGESTIVE_TRACT
C910	BICR16_UPPER_AERODIGESTIVE_TRACT
C911	TE10_OESOPHAGUS
C912	SKMEL28_SKIN
C913	BICR6_UPPER_AERODIGESTIVE_TRACT
C914	BHY_UPPER_AERODIGESTIVE_TRACT
C915	SH4_SKIN
C916	KPL1_BREAST
C917	CGTHW1_THYROID
C918	TUHR4TKB_KIDNEY
C919	HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C920	RCC10RGB_KIDNEY
C921	JHOM1_OVARY
C922	HCC33_LUNG
C923	TE6_OESOPHAGUS
C924	JHOC5_OVARY
C925	ACCMESO1_PLEURA
C926	SNU1214_UPPER_AERODIGESTIVE_TRACT
C927	LMSU_STOMACH
C928	SNU1197_LARGE_INTESTINE
C929	COLO668_LUNG
C930	OSRC2_KIDNEY
C931	HUH6_LIVER
C932	CJM_SKIN
C933	BICR22_UPPER_AERODIGESTIVE_TRACT
C934	SHSY5Y_AUTONOMIC_GANGLIA
C935	TM31_CENTRAL_NERVOUS_SYSTEM
C936	SNU1272_KIDNEY
C937	KPNRTBM1_AUTONOMIC_GANGLIA
C938	BICR18_UPPER_AERODIGESTIVE_TRACT
C939	TE4_OESOPHAGUS
C940	PCM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C941	ECC10_STOMACH
C942	TUHR14TKB_KIDNEY
C943	YD15_SALIVARY_GLAND
C944	UBLC1_URINARY_TRACT
C945	ECGI10_OESOPHAGUS
C946	CW2_LARGE_INTESTINE
C947	SNU761_LIVER
C948	SNU61_LARGE_INTESTINE
C949	SNU324_PANCREAS
C950	YD10B_UPPER_AERODIGESTIVE_TRACT
C951	HCC2279_LUNG
C952	HLC1_LUNG
C953	TUHR10TKB_KIDNEY
C954	VMRCLCP_LUNG
C955	TGBC11TKB_STOMACH
C956	OVK18_OVARY
C957	SNU1077_ENDOMETRIUM
C958	HCC1588_LUNG
C959	SNU213_PANCREAS
C960	HT115_LARGE_INTESTINE
C961	TE14_OESOPHAGUS
C962	TE8_OESOPHAGUS
C963	SNU520_STOMACH
C964	JHUEM3_ENDOMETRIUM
C965	LI7_LIVER
C966	NCIH838_LUNG
C967	SNU119_OVARY
C968	SNU1033_LARGE_INTESTINE
C969	SNUC5_LARGE_INTESTINE
C970	GSS_STOMACH
C971	TALL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C972	HCC1171_LUNG
C973	SNUC4_LARGE_INTESTINE
C974	U138MG_CENTRAL_NERVOUS_SYSTEM
C975	SNU620_STOMACH
C976	ECC12_STOMACH
C977	GSU_STOMACH
C978	KMS18_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C979	JHOM2B_OVARY
C980	SNU349_KIDNEY
C981	UMUC1_URINARY_TRACT
C982	NAMALWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C983	NCIH292_LUNG
C984	59M_OVARY
C985	HCC1833_LUNG
C986	RH30_SOFT_TISSUE
C987	SNU601_STOMACH
C988	CAL33_UPPER_AERODIGESTIVE_TRACT
C989	SNU668_STOMACH
C990	CORL279_LUNG
C991	COLO775_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C992	COLO684_ENDOMETRIUM
C993	KLM1_PANCREAS
C994	GRM_SKIN
C995	SNU685_ENDOMETRIUM
C996	SNU886_LIVER
C997	HCT8_LARGE_INTESTINE
C998	NCCSTCK140_STOMACH
C999	SNU719_STOMACH
C1000	SNU489_CENTRAL_NERVOUS_SYSTEM
C1001	SNU81_LARGE_INTESTINE
C1002	HTK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C1003	NCIH292_LUNG.1
C1004	LN443_CENTRAL_NERVOUS_SYSTEM
C1005	SLR23_KIDNEY
C1006	HMEL_BREAST
C1007	OELE_OVARY
C1008	LN235_CENTRAL_NERVOUS_SYSTEM
C1009	BJHTERT_SKIN
C1010	LN428_CENTRAL_NERVOUS_SYSTEM
C1011	SLR24_KIDNEY
C1012	EWS502_BONE
C1013	SALE_LUNG
C1014	HCC2814_LUNG
C1015	SKRC31_KIDNEY
C1016	TIG3TD_LUNG
C1017	TC32_BONE
C1018	SF172_CENTRAL_NERVOUS_SYSTEM
C1019	PRECLH_PROSTATE
C1020	U343_CENTRAL_NERVOUS_SYSTEM
C1021	RCC4_KIDNEY
C1022	LN215_CENTRAL_NERVOUS_SYSTEM
C1023	LN464_CENTRAL_NERVOUS_SYSTEM
C1024	SLR25_KIDNEY
C1025	U178_CENTRAL_NERVOUS_SYSTEM
C1026	F5_CENTRAL_NERVOUS_SYSTEM
C1027	HEKTE_KIDNEY
C1028	SLR26_KIDNEY
C1029	SKRC20_KIDNEY
C1030	SF767_CENTRAL_NERVOUS_SYSTEM
C1031	A1207_CENTRAL_NERVOUS_SYSTEM
C1032	LN319_CENTRAL_NERVOUS_SYSTEM
C1033	HCC364_LUNG
C1034	UMRC6_KIDNEY
C1035	LN382_CENTRAL_NERVOUS_SYSTEM
C1036	IOMMLEE_CENTRAL_NERVOUS_SYSTEM
C1037	UMRC2_KIDNEY
C1038	DFCI024_LUNG
C1039	HCC1897_LUNG
C1040	SLR21_KIDNEY
C1041	LNZ308_CENTRAL_NERVOUS_SYSTEM
C1042	LN340_CENTRAL_NERVOUS_SYSTEM
C1043	HCC827GR5_LUNG
C1044	SLR20_KIDNEY
C1045	HK2_KIDNEY
C1046	EW8_BONE
C1047	UOK101_KIDNEY
C1048	JHESOAD1_OESOPHAGUS
C1049	CH157MN_CENTRAL_NERVOUS_SYSTEM
C1050	HNT34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C1051	PLB985_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C1052	SKNO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
