C0	PC3_PROSTATE
C660	OC314_OVARY
C661	SNU685_ENDOMETRIUM
C662	HS578T_BREAST
C663	SU8686_PANCREAS
C664	REC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C665	HCC1187_BREAST
C666	KYSE520_OESOPHAGUS
C667	HS616T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C668	NCIH1341_LUNG
C669	COLO818_SKIN
C670	TCCSUP_URINARY_TRACT
C671	UACC62_SKIN
C672	CMK86_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C673	HS821T_BONE
C674	TM31_CENTRAL_NERVOUS_SYSTEM
C675	NCIH1339_LUNG
C676	NCIH23_LUNG
C677	769P_KIDNEY
C678	CAPAN1_PANCREAS
C679	DU4475_BREAST
C680	PRECLH_PROSTATE
C681	PATU8988T_PANCREAS
C682	C3A_LIVER
C683	CH157MN_CENTRAL_NERVOUS_SYSTEM
C684	NCIH2227_LUNG
C685	T173_BONE
C686	YD10B_UPPER_AERODIGESTIVE_TRACT
C687	HCC1599_BREAST
C688	COLO680N_OESOPHAGUS
C689	JMSU1_URINARY_TRACT
C690	SW780_URINARY_TRACT
C691	LXF289_LUNG
C692	NCIH292_LUNG.1
C693	NCIH1975_LUNG
C694	SKNBE2_AUTONOMIC_GANGLIA
C695	RERFLCAD2_LUNG
C696	HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C697	IMR32_AUTONOMIC_GANGLIA
C698	HUTU80_SMALL_INTESTINE
C699	SNU466_CENTRAL_NERVOUS_SYSTEM
C700	L428_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C701	HUH6_LIVER
C702	MOLM16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C703	EB2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C704	BJHTERT_SKIN
C705	SKNO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C706	HCC1438_LUNG
C707	ML1_THYROID
C708	NCIH2444_LUNG
C709	MDAMB134VI_BREAST
C710	SW403_LARGE_INTESTINE
C711	COLO704_OVARY
C712	HDQP1_BREAST
C713	RL952_ENDOMETRIUM
C714	ONCODG1_OVARY
C715	SUDHL6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C716	IALM_LUNG
C717	SNU761_LIVER
C718	JHESOAD1_OESOPHAGUS
C719	CAL54_KIDNEY
C720	FTC133_THYROID
C721	ST486_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C722	COLO699_LUNG
C723	NCIH1385_LUNG
C724	SLR26_KIDNEY
C725	KPNYN_AUTONOMIC_GANGLIA
C726	HLFA_LUNG
C727	KLM1_PANCREAS
C728	JK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C729	SKNAS_AUTONOMIC_GANGLIA
C730	SCC15_UPPER_AERODIGESTIVE_TRACT
C731	SNU449_LIVER
C732	CAS1_CENTRAL_NERVOUS_SYSTEM
C733	CCFSTTG1_CENTRAL_NERVOUS_SYSTEM
C734	D341MED_CENTRAL_NERVOUS_SYSTEM
C735	PANC1_PANCREAS
C736	JHOS2_OVARY
C737	LS513_LARGE_INTESTINE
C738	HS255T_LARGE_INTESTINE
C739	U266B1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C740	CW2_LARGE_INTESTINE
C741	SW480_LARGE_INTESTINE
C742	CORL24_LUNG
C743	TYKNU_OVARY
C744	ISHIKAWAHERAKLIO02ER_ENDOMETRIUM
C745	NCIH510_LUNG
C746	MDAMB157_BREAST
C747	HS895T_SKIN
C748	LN319_CENTRAL_NERVOUS_SYSTEM
C749	CAKI2_KIDNEY
C750	LOXIMVI_SKIN
C751	JL1_PLEURA
C752	SKCO1_LARGE_INTESTINE
C753	KYSE510_OESOPHAGUS
C754	KYSE150_OESOPHAGUS
C755	253J_URINARY_TRACT
C756	HPAC_PANCREAS
C757	VMRCLCP_LUNG
C758	CMK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C759	MKN7_STOMACH
C760	KP2_PANCREAS
C761	SCABER_URINARY_TRACT
C762	MHHCALL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C763	KP4_PANCREAS
C764	NCIH209_LUNG
C765	BICR16_UPPER_AERODIGESTIVE_TRACT
C766	C2BBE1_LARGE_INTESTINE
C767	HGC27_STOMACH
C768	PATU8988S_PANCREAS
C769	HUNS1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C770	OSRC2_KIDNEY
C771	NCIN87_STOMACH
C772	M059J
C773	TOV21G_OVARY
C774	NCIH838_LUNG
C775	KMRC2_KIDNEY
C776	DND41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C777	HCC2279_LUNG
C778	AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C779	KYSE140_OESOPHAGUS
C780	PL21_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C781	RERFLCKJ_LUNG
C782	DAUDI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C783	KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C784	SNU1077_ENDOMETRIUM
C785	HCC1171_LUNG
C786	KNS81_CENTRAL_NERVOUS_SYSTEM
C787	CAL851_BREAST
C788	SNU324_PANCREAS
C789	U937_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C790	VCAP_PROSTATE
C791	COLO775_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C792	A101D_SKIN
C793	KOPN8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C794	HMEL_BREAST
C795	CAL78_BONE
C796	KM12_LARGE_INTESTINE
C797	HS839T_SKIN
C798	A204_SOFT_TISSUE
C799	LN18_CENTRAL_NERVOUS_SYSTEM
C800	TC32_BONE
C801	HS863T_BONE
C802	SNU1079_BILIARY_TRACT
C803	SKLU1_LUNG
C804	EHEB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C805	NCIH1437_LUNG
C806	SF295_CENTRAL_NERVOUS_SYSTEM
C807	MHHCALL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C808	SNU1272_KIDNEY
C809	GRM_SKIN
C810	TCCPAN2_PANCREAS
C811	KMRC3_KIDNEY
C812	HEC251_ENDOMETRIUM
C813	SH4_SKIN
C814	PECAPJ34CLONEC12_UPPER_AERODIGESTIVE_TRACT
C815	YMB1_BREAST
C816	NCIH1648_LUNG
C817	G361_SKIN
C818	CL11_LARGE_INTESTINE
C819	MDAMB468_BREAST
C820	CAPAN2_PANCREAS
C821	SLR23_KIDNEY
C822	CORL51_LUNG
C823	RT112_URINARY_TRACT
C824	SKNMC_BONE
C825	RKN_SOFT_TISSUE
C826	NCIH2081_LUNG
C827	LP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C828	PK45H_PANCREAS
C829	U343_CENTRAL_NERVOUS_SYSTEM
C830	RCC4_KIDNEY
C831	COV504_OVARY
C832	UMUC1_URINARY_TRACT
C833	MKN1_STOMACH
C834	NCIH441_LUNG
C835	TT_THYROID
C836	SNU1_STOMACH
C837	CAOV3_OVARY
C838	KO52_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C839	NH6_AUTONOMIC_GANGLIA
C840	NCIH1694_LUNG
C841	BT474_BREAST
C842	BFTC905_URINARY_TRACT
C843	HT115_LARGE_INTESTINE
C844	CL40_LARGE_INTESTINE
C845	ECC10_STOMACH
C846	OVSAHO_OVARY
C847	SNU668_STOMACH
C848	NCIH1666_LUNG
C849	U87MG_CENTRAL_NERVOUS_SYSTEM
C850	MOLP8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C851	HS600T_SKIN
C852	KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C853	TEN_ENDOMETRIUM
C854	BT483_BREAST
C855	C32_SKIN
C856	A549_LUNG
C857	MKN74_STOMACH
C858	L33_PANCREAS
C859	GCT_SOFT_TISSUE
C860	SKRC20_KIDNEY
C861	NCIH1963_LUNG
C862	LUDLU1_LUNG
C863	HS888T_BONE
C864	ISTMES1_PLEURA
C865	SCLC21H_LUNG
C866	UBLC1_URINARY_TRACT
C867	NCIH684_LIVER
C868	LCLC97TM1_LUNG
C869	TE6_OESOPHAGUS
C870	HCC15_LUNG
C871	T47D_BREAST
C872	NCIH661_LUNG
C873	EWS502_BONE
C874	NCIH2023_LUNG
C875	D283MED_CENTRAL_NERVOUS_SYSTEM
C876	LI7_LIVER
C877	SUPT11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C878	KG1C_CENTRAL_NERVOUS_SYSTEM
C879	PANC0327_PANCREAS
C880	PANC0504_PANCREAS
C881	SBC5_LUNG
C882	G292CLONEA141B1_BONE
C883	COLO201_LARGE_INTESTINE
C884	NCIH1876_LUNG
C885	SNU245_BILIARY_TRACT
C886	A172_CENTRAL_NERVOUS_SYSTEM
C887	SNU81_LARGE_INTESTINE
C888	A2058_SKIN
C889	JHOC5_OVARY
C890	NCIH2405_LUNG
C891	SKMEL1_SKIN
C892	NCIH1944_LUNG
C893	RPMI8402_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C894	SNU61_LARGE_INTESTINE
C895	YH13_CENTRAL_NERVOUS_SYSTEM
C896	KYSE410_OESOPHAGUS
C897	SKBR3_BREAST
C898	AN3CA_ENDOMETRIUM
C899	PATU8902_PANCREAS
C900	A375_SKIN
C901	SNU349_KIDNEY
C902	KARPAS422_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C903	HS766T_PANCREAS
C904	RCM1_LARGE_INTESTINE
C905	HT1197_URINARY_TRACT
C906	U251MG_CENTRAL_NERVOUS_SYSTEM
C907	HCC38_BREAST
C908	NCIH226_LUNG
C909	NCIH211_LUNG
C910	NB1_AUTONOMIC_GANGLIA
C911	NCIH929_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C912	CALU6_LUNG
C913	SW1573_LUNG
C914	PF382_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C915	OCUM1_STOMACH
C916	HUH28_BILIARY_TRACT
C917	JURLMK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C918	JEKO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C919	RMUGS_OVARY
C920	A2780_OVARY
C921	NCIH2141_LUNG
C922	SNU1105_CENTRAL_NERVOUS_SYSTEM
C923	OUMS23_LARGE_INTESTINE
C924	IGROV1_OVARY
C925	SLR25_KIDNEY
C926	SNU489_CENTRAL_NERVOUS_SYSTEM
C927	CAMA1_BREAST
C928	COLO677_LUNG
C929	COLO829_SKIN
C930	JHOM2B_OVARY
C931	DAOY_CENTRAL_NERVOUS_SYSTEM
C932	OC316_OVARY
C933	S117_SOFT_TISSUE
C934	HNT34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C935	YAPC_PANCREAS
C936	ME1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C937	NCIH1299_LUNG
C938	MOGGUVW_CENTRAL_NERVOUS_SYSTEM
C939	SCC9_UPPER_AERODIGESTIVE_TRACT
C940	JHH1_LIVER
C941	COLO684_ENDOMETRIUM
C942	HS343T_BREAST
C943	HEC50B_ENDOMETRIUM
C944	SNUC2B
C945	SW1116_LARGE_INTESTINE
C946	NUGC2_STOMACH
C947	NCIH1436_LUNG
C948	SIMA_AUTONOMIC_GANGLIA
C949	SUIT2_PANCREAS
C950	HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C951	RERFLCAD1_LUNG
C952	NCIH2066_LUNG
C953	647V_URINARY_TRACT
C954	SNU216_STOMACH
C955	NCIH2052_PLEURA
C956	GSU_STOMACH
C957	SNU1197_LARGE_INTESTINE
C958	KP3_PANCREAS
C959	BICR56_UPPER_AERODIGESTIVE_TRACT
C960	SCC4_UPPER_AERODIGESTIVE_TRACT
C961	RCC10RGB_KIDNEY
C962	HS940T_SKIN
C963	HCC1395_BREAST
C964	KPL1_BREAST
C965	CORL311_LUNG
C966	NCIH28_PLEURA
C967	NCIH2170_LUNG
C968	SNU283_LARGE_INTESTINE
C969	KMS26_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C970	KE37_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C971	KYSE180_OESOPHAGUS
C972	SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C973	HS739T_BREAST
C974	SUPHD1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C975	NCIH854_LUNG
C976	SNU899_UPPER_AERODIGESTIVE_TRACT
C977	IPC298_SKIN
C978	143B_BONE
C979	EW8_BONE
C980	TE15_OESOPHAGUS
C981	MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C982	BV173_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C983	OVCAR4_OVARY
C984	LC1F_LUNG
C985	COLO678_LARGE_INTESTINE
C986	THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C987	JHUEM2_ENDOMETRIUM
C988	J82_URINARY_TRACT
C989	NCIH1568_LUNG
C990	MFE319_ENDOMETRIUM
C991	HCC827_LUNG
C992	OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C993	NCIH1373_LUNG
C994	MSTO211H_PLEURA
C995	SUDHL10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C996	RERFLCMS_LUNG
C997	KLE_ENDOMETRIUM
C998	SKLMS1_SOFT_TISSUE
C999	LU99_LUNG
C1000	ECC12_STOMACH
C1001	MEC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C1002	GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C1003	HCC1937_BREAST
C1004	ZR7530_BREAST
C1005	COLO783_SKIN
C1006	HCC70_BREAST
C1007	T24_URINARY_TRACT
C1008	NCIH1836_LUNG
C1009	SJRH30_SOFT_TISSUE
C1010	EFE184_ENDOMETRIUM
C1011	PCM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C1012	BT549_BREAST
C1013	NCIH841_LUNG
C1014	HS606T_BREAST
C1015	8305C_THYROID
C1016	RERFLCAI_LUNG
C1017	NUGC4_STOMACH
C1018	COLO679_SKIN
C1019	RD_SOFT_TISSUE
C1020	TT2609C02_THYROID
C1021	ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C1022	PANC0213_PANCREAS
C1023	BHT101_THYROID
C1024	HS939T_SKIN
C1025	NCIH650_LUNG
C1026	MHHNB11_AUTONOMIC_GANGLIA
C1027	NCIH1693_LUNG
C1028	HARA_LUNG
C1029	HS618T_LUNG
C1030	SNU1033_LARGE_INTESTINE
C1031	PANC0203_PANCREAS
C1032	OVISE_OVARY
C1033	HCC56_LARGE_INTESTINE
C1034	TALL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C1035	MELHO_SKIN
C1036	NCIH1581_LUNG
C1037	CAL51_BREAST
C1038	SHSY5Y_AUTONOMIC_GANGLIA
C1039	OCILY19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C1040	GOS3_CENTRAL_NERVOUS_SYSTEM
C1041	SNU175_LARGE_INTESTINE
C1042	TUHR4TKB_KIDNEY
C1043	HS834T_SKIN
C1044	DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C1045	MKN45_STOMACH
C1046	SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C1047	LC1SQSF_LUNG
C1048	GP2D_LARGE_INTESTINE
C1049	HS944T_SKIN
C1050	CHP126_AUTONOMIC_GANGLIA
C1051	TE11_OESOPHAGUS
C1052	HCT15_LARGE_INTESTINE
